Metric,Anomaly,Mean,Std
SIS (full),missing_1q,0.9845256616541354,0.02128655033963765
SIS (full),missing_2q,0.9492074962406015,0.07344948539948289
SIS (full),swap,0.9775432030075188,0.027291631499517303
SIS (full),reorder,0.9991758646616541,0.0032461555415177765
SIS (full),mild_combo,0.9837015112781957,0.02222022679514148
SIS (full),moderate_combo,0.9484957443609023,0.07314144379666992
SIS (full),severe_combo,0.940246007518797,0.07467749089549618
Depth only,missing_1q,0.9830032932330828,0.03986927330147372
Depth only,missing_2q,0.9547468270676691,0.0723920465243071
Depth only,swap,0.9579874586466165,0.06456231542711877
Depth only,reorder,1.0,0.0
Depth only,mild_combo,0.9830032932330828,0.03986927330147372
Depth only,moderate_combo,0.9547468270676691,0.0723920465243071
Depth only,severe_combo,0.9343268646616543,0.11546795451078964
Gate count only,missing_1q,0.9745360075187971,0.028900558215091323
Gate count only,missing_2q,0.9787659248120302,0.027420502926676596
Gate count only,swap,0.9745360075187971,0.028900558215091323
Gate count only,reorder,1.0,0.0
Gate count only,mild_combo,0.9745360075187971,0.028900558215091323
Gate count only,moderate_combo,0.9787659248120302,0.027420502926676596
Gate count only,severe_combo,0.970306082706767,0.03804354695091856
CNOT only,missing_1q,1.0,0.0
CNOT only,missing_2q,0.8905884436090226,0.1921051627681778
CNOT only,swap,1.0,0.0
CNOT only,reorder,1.0,0.0
CNOT only,mild_combo,1.0,0.0
CNOT only,moderate_combo,0.8905884436090226,0.1921051627681778
CNOT only,severe_combo,0.8905884436090226,0.1921051627681778
SIS w/o topology,missing_1q,0.9858464511278197,0.021038998449296194
SIS w/o topology,missing_2q,0.9413670902255639,0.08720337836262672
SIS w/o topology,swap,0.9775078721804511,0.02877155985554863
SIS w/o topology,reorder,1.0,0.0
SIS w/o topology,mild_combo,0.9858464511278197,0.021038998449296194
SIS w/o topology,moderate_combo,0.9413670902255639,0.08720337836262672
SIS w/o topology,severe_combo,0.9317405037593985,0.0881716642828261
SIS w/o CNOT,missing_1q,0.9793675112781954,0.02838203961951795
SIS w/o CNOT,missing_2q,0.9687472030075188,0.04293984484996166
SIS w/o CNOT,swap,0.9700576090225567,0.03638883810585965
SIS w/o CNOT,reorder,0.9989011353383458,0.004328180875802902
SIS w/o CNOT,mild_combo,0.9782686390977445,0.029626899055444356
SIS w/o CNOT,moderate_combo,0.9677982330827067,0.04272218721735411
SIS w/o CNOT,severe_combo,0.9567985714285714,0.06038553972640953
